,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Lambda kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Lambda frac
510,5.37000000,64.81699215,-16.74252062,80.02029274,-8.14425809,460.01141634,305.63096617,253.56065256,230.50236903,393.71876914,0.52076257,0.15273058,0.08721266,0.06551792,0.32650685
511,5.38000000,64.87098992,-16.74667807,80.14514371,-8.17956071,460.09065149,305.74948981,253.65085580,230.60159203,394.28682872,0.52006326,0.15262412,0.08714349,0.06548063,0.32731262
512,5.39000000,64.92489911,-16.75081995,80.26996358,-8.21488926,460.16965607,305.86768964,253.74081516,230.70053939,394.85367145,0.51936585,0.15251771,0.08707439,0.06544331,0.32811645
513,5.40000000,64.97871993,-16.75494631,80.39475245,-8.25024364,460.24843104,305.98556688,253.83053154,230.79921218,395.41930420,0.51867034,0.15241134,0.08700537,0.06540598,0.32891832
514,5.41000000,65.03245263,-16.75905725,80.51951039,-8.28562380,460.32697733,306.10312274,253.92000585,230.89761145,395.98373374,0.51797672,0.15230503,0.08693641,0.06536861,0.32971826
515,5.42000000,65.08609744,-16.76315282,80.64423752,-8.32102963,460.40529587,306.22035842,254.00923898,230.99573825,396.54696681,0.51728498,0.15219876,0.08686753,0.06533123,0.33051626
516,5.43000000,65.13965457,-16.76723312,80.76893392,-8.35646107,460.48338758,306.33727512,254.09823182,231.09359362,397.10901006,0.51659511,0.15209254,0.08679872,0.06529382,0.33131234
517,5.44000000,65.19312427,-16.77129820,80.89359969,-8.39191804,460.56125339,306.45387402,254.18698524,231.19117860,397.66987011,0.51590711,0.15198638,0.08672998,0.06525640,0.33210651
518,5.45000000,65.24650676,-16.77534815,81.01823491,-8.42740047,460.63889421,306.57015631,254.27550012,231.28849422,398.22955348,0.51522097,0.15188026,0.08666131,0.06521895,0.33289876
519,5.46000000,65.29980225,-16.77938304,81.14283968,-8.46290827,460.71631095,306.68612315,254.36377733,231.38554150,398.78806667,0.51453668,0.15177420,0.08659272,0.06518148,0.33368912
