,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,Lambda frac,Sigma_0 frac
332,3.59000000,53.15143101,-17.07711133,56.64271382,-2.82218865,443.09136354,256.23327186,256.23327186,276.54403136,0.00000000,0.69613525,0.13462333,0.13462333,0.16924141,0.00000000
333,3.60000000,53.22596047,-17.08824190,56.77396910,-2.85215411,443.23500996,256.43060927,256.43060927,277.51935173,0.00000000,0.69487693,0.13455979,0.13455979,0.17056328,0.00000000
334,3.61000000,53.30033956,-17.09931801,56.90516288,-2.88217082,443.37804811,256.62723783,256.62723783,278.48951483,0.00000000,0.69362315,0.13449597,0.13449597,0.17188088,0.00000000
335,3.62000000,53.37456891,-17.11034014,57.03629563,-2.91223840,443.52048306,256.82316279,256.82316279,279.45459243,0.00000000,0.69237391,0.13443186,0.13443186,0.17319422,0.00000000
336,3.63000000,53.44864915,-17.12130872,57.16736776,-2.94235650,443.66231976,257.01838933,257.01838933,280.41465470,0.00000000,0.69112919,0.13436749,0.13436749,0.17450333,0.00000000
337,3.64000000,53.52258091,-17.13222419,57.29837970,-2.97252475,443.80356311,257.21292254,257.21292254,281.36977026,0.00000000,0.68988895,0.13430284,0.13430284,0.17580821,0.00000000
338,3.65000000,53.59636480,-17.14308699,57.42933188,-3.00274281,443.94421793,257.40676744,257.40676744,282.32000622,0.00000000,0.68865320,0.13423793,0.13423793,0.17710887,0.00000000
339,3.66000000,53.67000143,-17.15389753,57.56022469,-3.03301034,444.08428896,257.59992896,257.59992896,283.26542825,0.00000000,0.68742190,0.13417276,0.13417276,0.17840534,0.00000000
340,3.67000000,53.74349141,-17.16465625,57.69105856,-3.06332701,444.22378086,257.79241198,257.79241198,284.20610058,0.00000000,0.68619503,0.13410734,0.13410734,0.17969763,0.00000000
341,3.68000000,53.81683533,-17.17536356,57.82183387,-3.09369246,444.36269824,257.98422129,257.98422129,285.14208609,0.00000000,0.68497258,0.13404167,0.13404167,0.18098575,0.00000000
342,3.69000000,53.89003379,-17.18601986,57.95255101,-3.12410639,444.50104563,258.17536161,258.17536161,286.07344632,0.00000000,0.68375453,0.13397576,0.13397576,0.18226971,0.00000000
343,3.70000000,53.96308737,-17.19662555,58.08321038,-3.15456847,444.63882747,258.36583760,258.36583760,287.00024151,0.00000000,0.68254085,0.13390962,0.13390962,0.18354953,0.00000000
344,3.71000000,54.03599665,-17.20718103,58.21381236,-3.18507838,444.77604818,258.55565386,258.55565386,287.92253064,0.00000000,0.68133153,0.13384324,0.13384324,0.18482523,0.00000000
345,3.72000000,54.10876221,-17.21768670,58.34435731,-3.21563581,444.91271209,258.74481489,258.74481489,288.84037150,0.00000000,0.68012654,0.13377663,0.13377663,0.18609683,0.00000000
346,3.73000000,54.18138462,-17.22814293,58.47484561,-3.24624045,445.04882345,258.93332516,258.93332516,289.75382065,0.00000000,0.67892588,0.13370980,0.13370980,0.18736433,0.00000000
347,3.74000000,54.25386443,-17.23855010,58.60527762,-3.27689200,445.18438649,259.12118907,259.12118907,290.66293353,0.00000000,0.67772950,0.13364275,0.13364275,0.18862775,0.00000000
348,3.75000000,54.32620222,-17.24890860,58.73565370,-3.30759017,445.31940534,259.30841095,259.30841095,291.56776444,0.00000000,0.67653741,0.13357549,0.13357549,0.18988711,0.00000000
349,3.76000000,54.39839852,-17.25921879,58.86597420,-3.33833465,445.45388410,259.49499507,259.49499507,292.46836659,0.00000000,0.67534957,0.13350801,0.13350801,0.19114242,0.00000000
350,3.77000000,54.47045390,-17.26948103,58.99623946,-3.36912516,445.58782679,259.68094565,259.68094565,293.36479214,0.00000000,0.67416597,0.13344033,0.13344033,0.19239370,0.00000000
